quartos;vagas;area;preco
3;0;136;363368.8612551389
4;2;146;481113.00174649194
4;0;153;435820.80996401806
3;2;232;567287.7332314918
4;3;80;447132.3420925136
3;0;170;435300.85346552375
2;2;81;315813.1648951578
3;3;56;352427.59622196166
3;0;186;437123.1967550672
4;3;268;725942.0571181654
4;1;185;551149.076532106
1;1;165;359190.06432238617
1;0;173;338493.11813251703
2;2;135;367158.90986858646
1;0;187;354736.3415794896
3;3;175;506095.17341102596
4;2;31;326019.4428383879
1;1;106;226194.66721549368
1;2;161;338848.83194015815
2;1;119;324679.0462010594
2;2;292;607031.2065634602
3;2;137;437635.7438694835
4;2;103;431804.6284176976
2;3;68;312603.8157442031
1;3;188;454172.1488471348
4;0;100;360734.62088678335
4;0;270;620611.1237671027
1;1;65;226600.42445526327
2;3;113;379561.68253650056
1;1;292;534415.7905074923
4;0;201;523150.25398646377
5;1;202;599772.7125398094
5;0;76;369808.55414093554
3;3;170;495039.4032564056
1;2;147;335231.3731969999
1;3;243;541958.3837354158
3;1;249;560901.8949056318
3;1;55;279401.5079632745
3;3;38;331014.72570265795
4;3;39;362932.17658378044
1;0;150;307667.22629687306
4;1;154;450184.13915138267
3;1;199;495849.66640916205
1;3;101;313077.92193197017
4;2;181;551962.7744619633
4;1;237;572441.6260432224
3;2;78;371062.2529286161
1;3;183;417406.5411005717
3;3;97;412200.74250524933
1;0;79;188659.28565294662
5;1;181;591574.1904762136
2;2;48;295749.7765874841
2;0;129;287692.7103091433
2;1;89;270521.72237455
3;0;196;467781.84987678105
5;3;231;684392.9336489441
1;1;175;378143.6521591152
4;0;193;526367.4524431411
1;0;271;487688.9815199007
4;2;98;431731.63501752395
1;0;204;403394.17555939563
5;1;78;393887.49036662275
4;1;137;456805.3639068511
3;2;255;597723.9426253956
1;1;190;402798.3266513034
1;3;148;345333.17670987133
4;1;178;516438.3226881404
3;1;179;475204.773741399
3;0;172;409050.15730052453
5;0;189;540976.1993555686
3;1;40;260307.57962744212
3;2;167;499601.92758882954
3;0;107;309842.6154282589
2;2;106;321831.0011925063
5;1;283;747011.7554208069
1;1;287;525040.4920016032
4;3;292;732449.2192031004
1;0;114;255573.6959443383
5;1;175;552736.0600553551
4;3;71;437048.43070677546
5;0;154;487725.5924604058
3;1;196;490808.10876350006
4;1;270;673899.4333077746
3;0;217;490974.78257652494
1;0;48;157121.06644157294
1;0;97;214189.0478643799
4;1;247;660133.8361280006
4;1;131;477875.57208205695
5;3;71;439938.07475132507
5;2;196;634444.8736249602
3;0;138;360671.92027797917
4;1;65;351330.1387758546
1;1;261;492867.41258620523
5;0;258;635892.2596581503
5;2;193;640669.6908706065
1;0;102;227066.0588713815
5;2;165;571806.3392865483
3;1;99;339737.8035151281
4;2;225;620295.5393953247
1;3;298;615158.5003502857
4;1;78;364500.48427283467
5;3;159;541849.6085844758
5;0;34;321337.8143248497
1;0;56;125170.35876780446
3;0;189;449310.9486870185
2;2;178;418908.71485860716
1;1;293;511170.0472984107
2;0;259;533202.4364389706
2;0;229;457098.1603811122
3;1;79;310566.75680356164
2;0;96;273650.48097657185
2;3;87;333088.18953855097
3;1;288;674076.1218425483
2;1;159;383039.6047854796
2;1;244;523302.50823966024
2;3;201;530918.8266275373
1;1;287;562545.0645121383
1;3;131;341659.8772868472
1;1;238;448640.7299232271
3;2;145;472991.83750587027
5;0;293;725701.2460810539
2;2;179;470003.51871336915
2;0;65;190125.90912880664
3;3;237;646459.9950784803
2;2;135;367271.8491343039
1;1;187;384345.8595628379
5;0;150;492035.5424481646
4;0;84;328430.3432690386
2;2;41;213249.28473157994
1;3;174;386123.03766734205
4;2;165;529880.3681210795
5;3;32;377493.6181953309
4;3;173;546823.6880982623
1;0;59;154139.2824360356
4;2;266;626223.829994802
3;2;144;461579.59424088005
4;3;133;461302.23665786383
2;2;147;398952.55217334453
2;1;34;201300.3845318858
3;1;277;626261.2344036362
1;2;150;354166.3839522021
2;2;178;487358.1592766648
5;3;113;533826.33763137
2;1;260;561072.2479848732
2;1;190;420530.74382259423
1;0;67;172915.13612378936
4;3;255;723451.4019005785
2;0;171;371746.0975062072
3;1;180;473844.6952839046
4;3;143;544117.0689827495
5;2;266;714155.4095961673
1;3;95;259268.79333361614
5;2;287;765611.4730742474
4;2;278;716773.38338716
4;3;209;596471.0847021606
4;2;219;621904.3979455468
5;0;183;558039.3277467907
4;1;225;542030.0748176939
5;2;291;747774.2273518646
4;0;172;470083.4243853667
3;2;130;421407.51999529527
4;1;273;644637.3147046403
5;0;41;315559.94392835634
2;1;268;585429.6578236418
4;1;78;364848.81736282184
2;0;71;212599.1267970052
3;0;195;461676.610461749
1;0;111;247241.81666122287
3;3;187;541532.5275342242
4;0;245;583385.4481834405
2;0;187;387499.66662659094
2;0;163;351257.38309064804
5;0;96;402043.8322702928
2;2;36;240776.29201621475
5;3;43;404616.39815196424
1;1;102;260865.38446940444
4;0;192;536259.8951125366
5;2;95;479014.147156264
1;2;159;361108.2894216573
2;2;235;506537.4622989074
2;1;285;609062.1361582302
1;0;295;489099.64698802173
2;3;54;307971.24068951496
1;3;282;595770.3572118897
5;2;193;614764.6279407188
5;1;124;480740.42392438644
1;1;299;511785.7745191796
5;1;139;515101.30001625244
5;3;267;772898.5266479161
5;2;54;389218.3976770439
3;0;170;421883.57051341794
4;3;146;529757.238300179
2;2;54;272691.4525589914
3;2;108;392076.06152246374
5;0;97;382973.6129207683
1;0;202;362401.24461075023
5;0;41;335992.5157077804
4;1;157;502330.56684079516
5;0;125;445147.2678121151
1;2;121;355252.9974910004
4;0;170;437110.5386232607
5;2;60;408725.99649884197
4;3;49;381839.32793014456
2;1;175;408485.0167289427
2;3;189;468857.15340370336
5;3;72;476957.23495503585
4;2;283;711921.8810262785
1;3;159;399459.2289196309
5;2;89;470136.87726517033
2;0;180;381524.47177103936
2;0;34;138652.74099782866
5;2;295;758167.2025989551
4;0;159;461641.09162818885
2;1;296;597254.8882969279
4;3;207;621327.5810517169
2;1;282;583974.1653597007
2;3;85;325877.0790909997
3;0;112;338533.62114221073
2;1;128;353441.8555680984
1;0;178;335302.2036299529
5;3;185;612633.521431878
5;2;219;639270.2326068892
4;2;292;734617.0464855874
2;1;109;341349.4432588515
1;0;281;515005.662156481
4;0;126;413643.1189948407
3;1;289;609437.3479596662
4;2;289;713372.9688645427
4;3;132;539245.1026390084
2;1;69;265869.7676091295
3;3;130;450850.4495463226
4;2;250;667572.5046568243
1;0;153;274112.0958676879
1;2;260;506086.57244303596
5;1;207;588816.1721795535
3;0;92;317391.4363669687
3;1;145;431782.0699944018
5;1;220;626923.4794560326
4;2;91;399041.4064652087
3;1;285;627105.0181293074
1;2;36;174268.40218652386
1;0;184;330076.5859061251
2;2;121;368279.8737061849
3;0;43;219340.15554962654
4;2;258;635673.0053407182
5;3;115;505617.71059273626
5;3;162;570934.790663681
4;1;212;572950.2383315241
2;2;91;319508.1087635233
5;2;248;704010.4018901632
3;0;275;594254.6330495989
2;1;259;562339.1771223423
3;2;108;380154.6693834977
1;1;178;375129.54954476835
2;3;167;428907.68985188246
5;2;94;498574.194925267
2;2;42;218103.37523563686
2;1;242;498798.37761919125
2;2;271;574545.8097253381
2;1;242;482474.58006555575
3;2;210;545651.5115481713
1;0;202;377278.07736402965
4;1;189;529711.726580369
2;2;193;438695.0473593785
5;3;217;725167.7246970342
2;2;220;520984.615930033
5;3;285;840184.4408729991
3;3;212;561897.8152022741
5;0;146;508157.64456353954
4;1;225;603085.4777478833
1;2;63;218688.49793805275
5;0;81;419721.0180211845
5;2;141;533391.7998477244
1;3;281;574282.1716115079
4;1;111;347071.4021612323
2;2;261;579680.5610748527
5;2;256;687489.8017663519
1;3;262;541985.5760860898
3;2;250;584475.6072250995
1;2;71;229175.36921363475
3;3;50;343877.6046043487
4;0;71;326722.83126097516
2;3;142;437192.82581011613
1;0;134;296312.5907117126
5;1;221;624124.0812664432
4;0;46;279428.6551596777
1;0;149;312654.5530732402
5;1;158;557740.9457747986
1;0;159;323311.81736206095
3;3;89;374456.423865213
1;0;77;193953.10131003207
1;1;58;189189.41208094577
1;3;126;370050.57882699324
4;1;39;297042.55820924503
1;1;271;473167.7941770017
5;2;261;735304.7360076054
3;2;232;526832.632334858
3;1;276;599369.7319220734
1;1;293;519036.0897736341
4;1;243;593901.3065818851
4;2;229;608519.3705808981
5;2;108;516347.4713950326
1;0;202;389411.10838012747
3;0;98;311965.3863601499
4;1;116;446672.46943718096
1;3;130;333754.0568966725
4;3;37;341534.3322850568
4;2;229;640771.9331849318
3;2;116;415592.86458645295
2;2;72;278794.73196833354
5;1;138;484290.7821260374
5;3;181;660694.6375007587
3;0;46;204597.94898104365
4;1;162;481031.4812931288
1;0;177;340071.53055035794
4;0;261;647543.296168629
3;1;257;593162.0042414644
5;0;168;531606.093060266
4;3;240;658612.3259970375
5;0;57;366869.60450549197
1;3;80;282106.18641758175
5;3;290;763230.7091916489
5;3;290;810858.6970698622
2;2;37;254907.86779693703
2;0;167;386567.30097642326
2;1;67;251166.55851331603
5;1;140;490876.46233700705
3;0;249;497316.3253743027
5;2;252;711141.072108029
3;2;165;499138.841194817
3;3;285;707410.6493816617
2;0;78;253321.45686787696
4;0;107;379015.7804290122
1;1;134;322749.28348062997
2;0;198;435483.23647711804
2;2;246;540547.3287855688
4;0;148;455531.9603323169
1;1;219;417780.8170918142
5;3;284;796800.4846323384
5;1;295;716517.6671139786
2;1;178;392555.76382654154
1;3;193;470664.1409388782
2;1;169;422251.2024440953
3;1;287;643172.2308115166
2;0;298;568759.3764210566
2;0;210;387174.51137951703
5;3;189;642002.4812358702
5;0;255;661583.6633437967
5;0;40;319305.3350488082
3;1;39;244250.11614383524
5;2;212;676888.4077630738
1;0;182;341794.22017216776
4;2;153;518595.9033928476
1;0;143;299982.6292323873
1;0;242;412971.2584698984
5;3;201;665364.1484542838
4;3;203;640892.889889546
4;3;142;559384.4636659945
4;2;151;507298.7279442938
3;1;61;286741.1290530585
5;0;251;651880.4813627506
4;0;148;446872.7409405504
3;0;68;299735.1613226231
2;2;297;605572.1662166587
2;3;262;597402.5382766796
3;1;47;248157.1734624698
3;2;178;476758.10228404845
5;3;178;634531.4803027825
5;2;155;578697.1568327405
2;1;267;537512.1661251251
4;3;164;571441.8957795058
2;2;180;472231.57314263936
4;1;265;686194.1199686679
4;0;253;600894.9369768209
5;1;232;635204.7094511173
1;0;285;477450.5613678821
1;2;115;280464.1360416021
3;3;179;553495.6140280721
5;3;264;725698.093140887
4;2;51;380854.969713024
1;3;298;589631.1794149571
4;3;287;726795.8760428119
1;0;58;153968.8908998004
1;2;242;478926.9090086698
1;1;79;237139.5950991915
5;0;124;492266.8790396555
2;2;117;342351.3568489372
4;0;73;320855.2432167075
5;1;200;596733.5838543221
5;1;218;637821.1352698527
5;2;213;646430.3144208828
5;1;32;375745.1482210519
5;0;220;622932.4783312385
3;1;147;396790.752928098
4;0;48;302419.36331149656
5;0;52;378406.78474619007
4;1;59;328604.38108466234
3;2;137;429614.70256412885
3;3;157;484939.2600429409
4;1;258;626858.4876895299
1;0;140;246630.96896177903
2;0;165;340933.70097069896
1;1;215;424049.4743747446
1;2;173;419771.9594930556
1;2;101;269232.78374963434
5;0;158;494144.8539410288
3;0;290;639030.4214084147
1;2;32;155834.85076368027
3;3;133;426275.13674587157
4;1;253;612929.69127725
2;0;39;165244.3104241127
4;0;260;575050.9383060987
4;2;248;649439.1658745077
5;1;95;461468.92699723074
2;2;141;365780.90452570346
4;1;42;314751.56437907176
4;1;115;430418.71351253544
2;1;263;542832.3144945141
2;0;119;302213.8517948212
4;3;83;438446.54525190423
2;2;41;225245.44086163136
4;3;238;696971.6514402374
4;2;43;369455.13668152434
5;1;150;548798.2279448233
1;0;49;163773.51481087727
4;3;104;434500.4106113395
3;0;272;596521.2475562394
1;2;252;521112.02855099016
1;0;99;187769.52770112435
1;0;240;425701.79289699846
5;3;130;560535.8689865058
4;1;215;605786.3419624927
5;0;161;525994.4771578852
4;1;140;442708.68545443396
5;2;161;605407.7691690392
5;0;49;344375.5952542778
3;3;53;334383.17726193817
5;2;256;707457.6360682237
2;2;183;422028.89523953735
3;3;259;646304.6099236772
5;0;231;626449.7051461132
1;0;67;162792.3334494957
2;2;289;621909.0495449512
2;0;217;428212.1785817164
2;1;86;276181.44171444763
3;3;49;339830.80653217266
5;1;148;525793.2175412684
5;0;100;387890.69820561906
1;2;33;170719.8809825754
1;3;250;568549.2586062521
2;0;43;174651.07851338966
1;0;32;118316.15088223679
3;2;245;595764.8849890211
5;2;258;748364.795178393
2;1;215;498307.3624438934
1;3;84;302150.6199963762
3;3;283;665035.1537325493
3;2;53;316683.6609838416
1;1;191;397858.83486150263
5;3;187;626527.903288079
1;2;111;279089.6578830462
2;0;188;436100.2829441406
1;3;217;479483.9337556614
3;1;89;365799.536378223
1;1;240;479941.87510989065
5;1;181;579657.5356475065
4;0;138;436050.6287271897
1;3;105;289491.6087933846
5;3;59;452635.49559668836
5;0;146;517340.40825963253
3;3;221;605126.7900637122
5;0;48;345086.7337412882
5;0;202;607238.7439163406
5;0;257;651799.185546784
5;1;212;605608.8864995663
2;3;142;426076.6383215651
2;0;212;453329.3473622319
3;3;175;488144.11808383476
1;1;145;323197.37286980834
5;0;142;499206.9003107262
1;2;280;544607.1674940628
1;1;280;542139.2953260528
3;2;147;463323.7332482214
5;3;190;687827.6623702216
5;3;227;685487.9420483757
4;1;289;700114.1970099218
1;3;177;405153.5218440519
1;2;269;501192.6709744655
2;0;76;193289.38314364254
4;0;227;571266.4804479385
2;0;76;237684.95827888206
2;1;107;300918.97885276494
2;3;153;404029.91332100774
3;2;104;372192.2674772265
3;3;166;509081.86015350913
2;3;119;404363.387335862
4;3;90;444669.2849950475
1;0;167;325541.2068541056
4;2;79;390977.3523805173
5;2;288;796984.484050543
3;3;136;443635.0071134354
1;0;142;269015.23565429746
1;0;283;484652.83852012974
5;2;147;561354.0879595345
5;0;227;589722.8042042624
2;0;80;242714.37181095997
3;0;274;584298.2028685311
3;1;64;282112.8405853324
4;3;98;463599.58921913715
2;2;78;276843.72202525137
2;2;103;312158.51715076505
2;1;221;483492.1151304288
2;3;290;611804.8882904388
3;2;99;335603.94594899524
3;0;119;359156.666015936
2;2;289;634479.3988518234
4;0;155;443163.9376261494
1;1;260;476638.5869580446
1;0;158;327110.7045194912
4;2;129;450589.2356400216
2;2;211;469232.54750557686
3;2;203;548652.7284741697
1;1;217;425680.76373024617
5;1;86;450297.53478580475
5;3;60;407194.6824244404
4;2;113;421486.5201776287
2;0;181;391786.6411968831
1;1;65;205853.47396967572
2;2;242;559939.9417537892
1;2;135;335996.35537617555
4;1;249;626793.1031071714
4;3;192;590211.969139396
5;1;249;705318.0980980904
2;1;299;576439.53089059
5;0;149;500680.4030511188
2;0;211;416743.8233082396
5;3;135;573195.5709161002
3;2;246;578259.6486122446
3;1;234;565876.3139700092
3;3;99;410742.09893649037
3;0;73;314392.7834651736
1;1;257;479879.6070545683
3;2;213;557999.322324951
4;0;136;408406.8743907858
4;0;113;383742.1398711741
1;0;279;490614.9895888871
3;3;50;304455.6015505725
3;2;225;539147.5213163046
3;1;207;522497.1859967129
5;3;36;411078.2635693664
2;3;99;346641.4693390396
5;3;156;579260.2763916649
2;0;189;389530.22408552613
3;2;277;647751.0143001645
3;3;232;616900.7172823237
5;1;177;523657.8554074955
5;2;172;616256.6811353979
2;1;228;518834.0152588399
4;2;183;507886.904729062
2;1;171;428218.53392645594
5;0;194;582104.3770266209
5;3;50;435008.9098837509
1;1;111;240556.62756230248
5;2;98;497304.56183330144
1;3;160;395175.37867405295
4;3;116;494977.57687637914
2;2;247;594884.0254392356
2;1;190;440036.7350124724
1;0;207;362162.3061656288
2;0;146;332285.38010160555
5;1;225;621711.0927951803
3;3;115;441169.79434897046
1;3;110;308878.6488250039
2;3;181;472042.97155300714
1;3;90;269311.392511848
1;1;90;232358.25988961713
3;3;57;349035.09586604097
5;2;72;384304.23905765015
1;3;198;462191.47122960445
2;0;115;291585.9953780644
4;3;206;603700.1610248775
1;1;46;209572.57848539745
1;0;127;279669.5305520951
3;1;227;518571.95027697197
5;1;127;507264.7375914228
4;0;94;385889.96152042114
2;1;34;203640.41845235115
4;1;31;303728.8407389465
2;3;51;293266.9333384318
5;2;141;499783.6828215342
2;1;86;275262.608062992
3;1;95;337721.7431603194
3;1;127;419103.11273119756
3;3;173;526174.5572712375
3;2;154;455047.7807576661
4;0;196;512197.5051801798
5;3;115;552967.711632548
2;3;105;363808.3067350937
2;2;88;298036.0893381678
3;2;167;474985.9561415827
3;3;128;470813.92287645367
1;0;221;411423.2981119587
5;3;272;768885.3594669823
4;2;78;400830.7859888966
2;0;61;200305.15052809037
1;2;49;199621.01199114692
1;0;183;331233.91356450965
2;1;97;289604.4143140051
4;2;243;671423.5652725325
1;2;172;366442.5637724562
1;3;261;537725.6466715417
5;2;242;667914.0227412849
4;2;108;412581.82485624804
1;1;243;460764.56171609415
4;2;145;485147.81636398425
2;1;121;366733.77861584385
3;1;299;642843.0690764441
1;1;197;421287.9372686005
5;1;87;449860.12949881266
2;0;55;198320.9168955197
4;3;95;494702.71164171246
2;0;277;540870.6797292961
1;2;283;584760.1853200798
4;0;73;357431.9378316253
3;0;126;367292.95970209566
2;2;71;301522.61695611704
1;2;256;526481.4283023896
5;2;291;743614.7713721659
4;0;196;515145.8070890603
2;0;118;318484.9446788932
2;2;207;521023.7263472332
3;3;226;584587.206563361
3;3;296;714576.6260362604
5;1;297;748517.4042655507
5;2;103;482142.51870836806
1;1;37;162620.05258450052
1;3;193;453859.9482133227
5;1;114;481828.1513774518
5;2;101;510334.33521900105
4;2;84;421682.55181729404
3;2;76;350211.82517745404
1;0;267;507792.50113646156
3;1;133;421698.5919176067
3;3;239;616652.031227933
5;3;71;442157.5919529419
4;3;297;735743.3863815907
2;0;292;576664.6489663126
4;0;288;639393.7504149404
4;2;143;474338.890457761
3;3;69;348338.293466256
4;0;249;579752.313758186
1;2;158;384012.953355645
3;3;37;312365.1584843545
1;1;130;267552.50799401186
2;2;205;488120.89795524714
3;0;136;378445.3226489648
2;0;130;305413.262771183
3;2;289;686617.701683854
5;2;275;734081.2222861543
4;0;61;333666.75373274303
5;1;166;560935.6555934995
2;3;41;290032.1101608882
4;1;45;295528.98318387213
3;2;158;468966.20384476206
4;1;92;386943.4399085046
1;0;138;248559.86950184935
4;2;50;377101.2145960582
1;3;187;424151.982061853
4;0;298;654808.6434232803
1;0;191;336233.68328804546
2;3;289;657523.7265214075
5;3;131;525981.4056245481
3;1;252;590357.4960092914
4;2;88;432890.27972486924
5;3;276;784743.5685525152
3;3;157;509752.5696769286
3;2;54;326190.92939156084
1;3;160;381011.5134654847
2;3;225;576194.6995932868
2;1;183;415298.47491733
5;0;162;511672.24764820054
2;0;256;497347.2536329808
4;0;218;556830.8424175462
2;0;294;550239.2551372516
5;3;163;605838.3144847474
2;2;240;515293.1236570799
4;2;89;436793.30417003145
1;1;242;476414.81891900406
5;1;245;661654.8047619646
1;3;255;533117.0193994838
1;2;160;382892.5649263539
1;2;105;273354.13238728076
3;0;185;450007.3063153034
3;3;277;698727.9757486281
1;3;247;514274.8576172562
5;0;219;605872.016582404
4;3;192;604314.5053387098
4;3;209;621553.2636267464
2;1;63;234424.20831792126
5;2;70;459295.9411378877
3;3;104;404048.6272846607
1;1;205;371259.2219774076
2;2;179;461310.6718326207
4;0;137;401473.9330046433
3;1;168;465837.62289710174
3;1;241;588198.0649568689
1;2;95;285094.9975679735
4;0;277;656928.2260377498
5;1;185;617900.982138593
3;3;76;393335.20925217896
1;3;230;511611.4678525087
5;3;177;658178.963670473
4;0;153;484595.5108969317
3;1;30;280375.4356651884
5;3;276;764157.12969608
5;0;157;478419.6328300319
5;3;220;678936.1563313022
3;2;96;388072.8323158635
3;1;33;252683.1789066421
2;1;172;403870.38029646303
4;0;220;561209.6279760987
1;0;50;115583.89836653466
5;1;256;686823.3859738308
2;3;146;451369.15289695753
1;3;171;427486.31289116456
2;2;68;295836.19643667457
3;3;281;713447.4557990503
5;0;236;622677.1343025267
1;0;239;415438.1667729933
1;3;144;399790.30085330084
1;0;254;474422.41262067854
1;1;163;355665.8334951159
1;1;280;516792.57998835103
2;3;248;582027.5930201598
5;1;120;454464.5409573783
3;1;75;334758.93060414406
3;2;67;352053.0261905829
3;2;171;460266.34499066434
3;1;129;410852.6416781227
2;3;219;546582.0331001802
4;2;64;355560.5177921841
5;0;176;509879.99597855064
1;0;59;165969.86538803444
4;0;113;381545.9177218616
3;3;299;744898.9770109934
4;1;183;543551.9678929781
5;0;131;475973.86273464456
1;3;244;536461.5800800478
1;2;179;425117.3436073433
5;1;112;484930.3618345468
5;2;139;548495.3287699204
3;3;230;585394.7764740498
1;0;202;434238.93930812436
4;0;235;550436.3448538353
2;3;92;341749.1452579967
2;0;102;239905.43447180005
5;1;280;730775.9631753853
3;3;153;492522.2087456962
2;2;150;420305.5287672952
1;3;149;348718.6873779113
5;1;193;611758.1133476186
4;1;294;674851.2919706077
5;3;190;642019.8960127227
4;3;118;505631.4253736213
5;0;171;531725.333682638
5;1;232;654638.8511333372
5;3;256;759983.576398108
4;3;251;695075.8127987745
4;1;70;348177.84194902563
5;3;225;694170.6174352954
2;0;97;269737.57357303647
3;1;293;621588.8781290733
3;0;31;236420.17318777338
3;0;154;406773.07861614967
4;0;139;429995.52535843936
4;0;115;416349.9311806294
2;1;149;371097.7271357726
3;0;156;400351.5800569517
3;0;284;586307.4247199207
5;3;212;684861.3401785187
4;1;45;323669.0021666303
3;1;91;323174.3159898019
2;2;187;456946.120457732
2;1;297;582307.9546296153
3;1;64;281902.6309236902
4;2;296;689402.043365463
2;1;93;284881.79492636886
5;1;79;384455.73467839975
2;1;284;566743.6862732098
1;1;178;354746.10708244785
1;2;201;452537.90114531206
4;1;230;574701.3038738072
3;1;64;280776.2723037105
